"","X","x"
"4491","plspm",184
"5074","RHmm",184
"5127","Rlab",184
"1013","alphashape3d",183
"1079","aroma.apd",183
"1444","calibrator",183
"2528","frontier",183
"3629","mediation",183
"4755","R2Cuba",183
"4925","rdatamarket",183
"4985","reldist",183
"5010","reporttools",183
"5710","solr",183
"1553","CHsharp",182
"1663","compareGroups",182
"2494","fossil",182
"2664","geomapdata",182
"3298","lambda.tools",182
"3371","lifecontingencies",182
"3476","LSD",182
"5778","spcosa",182
"6048","TeachingSampling",182
"1349","BLR",181
"1536","chemCal",181
"2512","FRAPO",181
"3034","hyperSpec",181
"3627","meboot",181
"5006","ReporteRsjars",181
"5770","SpatialTools",181
"5912","streamR",181
"6180","truncdist",181
"1844","dataframes2xls",180
"2505","fractal",180
"5123","RKEA",180
"5762","spatialCovariance",180
"6070","textir",180
"6125","tm.plugin.factiva",180
"914","AutoSEARCH",179
"1369","Bolstad",179
"1475","catspec",179
"1490","cclust",179
"2318","ezsim",179
"2860","GUIDE",179
"3046","IBDsim",179
"4133","OAIHarvester",179
"4788","ramps",179
"5896","stockPortfolio",179
"958","adaptivetau",178
"1172","BayesLogit",178
"1236","benchmark",178
"1259","BGLR",178
"3846","movMF",178
"4117","NRAIA",178
"4280","parcor",178
"5273","RRF",178
"6430","xpose4",178
"999","alabama",177
"1011","alm",177
"1181","bayesQR",177
"1380","bootruin",177
"1677","CompRandFld",177
"2051","dostats",177
"2616","gdalUtils",177
"3806","mnlogit",177
"5148","rminer",177
"5290","RSelenium",177
"5507","SemiPar",177
"5605","simpleboot",177
"1149","baseline",176
"2885","HAC",176
"3747","mixAK",176
"4433","phylolm",176
"4622","PropCIs",176
"5246","rplos",176
"5411","SASxport",176
"6022","tabplot",176
"6175","trip",176
"1713","CORE",175
"2470","FMStable",175
"2649","GenKern",175
"2888","HandTill2001",175
"2936","hglm",175
"3113","intamap",175
"4038","nhlscrapr",175
"4735","questionr",175
"5329","rtf",175
"1071","ArDec",174
"1501","CDNmoney",174
"2061","DPpackage",174
"2192","emplik",174
"2417","FieldSim",174
"2883","h5r",174
"4217","OrgMassSpecR",174
"4587","PReMiuM",174
"5370","RXKCD",174
"5480","seasonal",174
"5696","SoDA",174
"6338","vrtest",174
"1110","AtelieR",173
"2177","EMD",173
"2948","hierfstat",173
"3057","ICC",173
"3294","LaF",173
"4232","ouch",173
"4880","RcmdrPlugin.mosaic",173
"5149","Rmisc",173
"5150","Rmixmod",173
"5909","stream",173
"6031","taRifx.geo",173
"6414","x12",173
"6441","YieldCurve",173
"1315","biOpsGUI",172
"3104","infotheo",172
"3666","MethComp",172
"3845","move",172
"4067","nnclust",172
"6285","varSelRF",172
"2063","dr",171
"2257","etm",171
"4275","parallelMap",171
"4544","PopGenome",171
"4683","pxR",171
"5231","roxygen",171
"5450","scrapeR",171
"5484","secr",171
"1130","BACCO",170
"1170","BayesLCA",170
"1233","BEDASSLE",170
"1378","BootPR",170
"2009","distrom",170
"3384","linprog",170
"4779","RadOnc",170
"4886","RcmdrPlugin.qual",170
"4923","Rd2roxygen",170
"5056","rgexf",170
"5570","shinyRGL",170
"2330","FAiR",169
"3902","muhaz",169
"4294","partsm",169
"4859","RCircos",169
"1419","bst",168
"2127","ecespa",168
"2627","gems",168
"2768","gogarch",168
"2803","GrapheR",168
"3149","irtoys",168
"4868","RcmdrPlugin.doBy",168
"4894","RcmdrPlugin.survival",168
"5342","Runuran",168
"6251","Unicode",168
"2018","diveRsity",167
"2454","flexsurv",167
"2712","GIGrvg",167
"2859","Guerry",167
"3737","missForest",167
"3752","mixexp",167
"5129","rLakeAnalyzer",167
"5138","RMark",167
"5568","shinyAce",167
"3237","KernSmoothIRT",166
"4586","prefmod",166
"4804","RandVar",166
"4895","RcmdrPlugin.TeachingDemos",166
"5873","StatDA",166
"5929","subselect",166
"1465","caroline",165
"2442","FitARMA",165
"2481","ForeCA",165
"3165","ISOcodes",165
"4451","PKfit",165
"5089","RImpala",165
"5412","SAVE",165
"5648","smatr",165
"6123","tm.plugin.dc",165
"6164","TreeSim",165
"6268","usl",165
"1005","allan",164
"1164","bayesDem",164
"1216","bclust",164
"2131","EcoHydRology",164
"3359","lfe",164
"3376","likert",164
"4871","RcmdrPlugin.EACSPIR",164
"5409","SASmixed",164
"1222","bda",163
"1423","BurStFin",163
"1472","catnet",163
"1604","ClustOfVar",163
"1817","cwhmisc",163
"1917","depmix",163
"2171","ELT",163
"2580","gamboostLSS",163
"3255","kml",163
"3435","logistf",163
"3860","MPTinR",163
"4643","psgp",163
"5620","SIS",163
"5644","smacof",163
"1145","BAS",162
"1252","betategarch",162
"1318","biotools",162
"1644","CollocInfer",162
"2945","HiddenMarkov",162
"4707","qqman",162
"4790","random",162
"6435","yaImpute",162
"931","AcceptanceSampling",161
"1827","dae",161
"2333","fame",161
"2962","HistogramTools",161
"3029","hydroPSO",161
"3316","latticeDensity",161
"3413","lmomRFA",161
"4872","RcmdrPlugin.EBM",161
"5073","RHive",161
"5443","SCMA",161
"5871","stashR",161
"1036","anchors",160
"1239","BenfordTests",160
"1371","BoolNet",160
"1397","brainwaver",160
"1415","bspec",160
"1495","CCTpack",160
"1504","cec2013",160
"2566","g.data",160
"3427","LogConcDEAD",160
"3616","mcprofile",160
"4018","netmeta",160
"4468","plink",160
"5479","season",160
"5877","StatMatch",160
"989","agridat",159
"1240","bentcableAR",159
"1389","bpca",159
"1569","cladoRcpp",159
"1733","COUNT",159
"1841","DatABEL",159
"1920","depthTools",159
"2738","glmpath",159
"2827","grplasso",159
"3111","insol",159
"3837","moonsun",159
"3840","Morpho",159
"4867","RcmdrPlugin.depthTools",159
"5122","rJython",159
"5298","RSiteCatalyst",159
"5768","spatialsegregation",159
"1698","conting",158
"1766","CreditMetrics",158
"2078","DSL",158
"2080","DSpat",158
"3671","mets",158
"4349","pcse",158
"5079","RHRV",158
"5951","surveillance",158
"5971","svDialogs",158
"992","ahaz",157
"1710","CopyDetect",157
"1826","DAAGxtras",157
"2025","dlmodeler",157
"2858","GuardianR",157
"5254","RProtoBuf",157
"5442","SciViews",157
"5624","SixSigma",157
"5765","spatialkernel",157
"5883","Stem",157
"1073","arfima",156
"1790","cts",156
"1873","dcmle",156
"2793","gputools",156
"3697","micEconCES",156
"3994","ncdf.tools",156
"4351","pdfCluster",156
"5247","rplotengine",156
"5922","stsm",156
"1157","batchmeans",155
"1201","bbemkr",155
"1355","Bmix",155
"1359","bmp",155
"2456","flip",155
"2458","flora",155
"2818","grImport",155
"2941","HI",155
"2972","HMM",155
"3360","lfstat",155
"3775","MLDS",155
"4194","OptimalCutpoints",155
"5132","rlme",155
"5299","RSKC",155
"5628","SKAT",155
"6052","tempdisagg",155
"6188","TSAgg",155
"1125","aylmer",154
"1249","betapart",154
"1289","bindata",154
"1392","bpkde",154
"1401","bReeze",154
"2084","dti",154
"2322","FactoClass",154
"2565","fxregime",154
"3121","Interpol.T",154
"3682","mfx",154
"5185","robfilter",154
"5454","SCRT",154
"5457","SCVA",154
"5464","SDD",154
"5995","sybil",154
"1341","blme",153
"1989","discretization",153
"2425","FinCal",153
"2886","HadoopStreaming",153
"3194","JADE",153
"3516","MALDIquant",153
"3644","MESS",153
"4276","ParamHelpers",153
"4805","rangeMapper",153
"4882","RcmdrPlugin.NMBU",153
"4897","RcmdrPlugin.UCA",153
"5518","SensitivityCaseControl",153
"5578","siar",153
"6177","tripEstimation",153
"6362","weatherData",153
"1212","BCEA",152
"2693","GGEBiplotGUI",152
"3250","km.ci",152
"3954","mvnmle",152
"4257","pairwise",152
"4302","PASWR",152
"4359","PearsonDS",152
"4500","PMA",152
"4506","pmmlTransformations",152
"5478","seas",152
"5671","SMPracticals",152
"6013","sysfonts",152
"1070","archetypes",151
"1467","cat",151
"1546","CHNOSZ",151
"2122","EbayesThresh",151
"2704","ggsubplot",151
"2880","gwrr",151
"3162","Iso",151
"3232","kequate",151
"3424","locpol",151
"3530","mapplots",151
"3698","micEconSNQP",151
"3778","mlegp",151
"4054","nlrwr",151
"4450","PK",151
"4681","pwt",151
"4878","RcmdrPlugin.lfstat",151
"4906","RcppClassic",151
"5114","rje",151
"5373","Ryacas",151
"5632","skewt",151
"5874","StatDataML",151
"6061","tester",151
"1196","BaylorEdPsych",150
"1273","bigdata",150
"1459","carcass",150
"1927","desirability",150
"2423","FinancialInstrument",150
"2591","gamlss.mx",150
"2724","GLDEX",150
"2764","gof",150
"2802","gRapHD",150
"2897","HaploSim",150
"4036","ngspatial",150
"4322","pbdSLAP",150
"4665","PtProcess",150
"5039","RForcecom",150
"5424","scam",150
"5595","simecol",150
"5669","smoothSurv",150
"5744","SPARQL",150
"5758","spatgraphs",150
"5857","st",150
"6262","UScensus2000tract",150
"1101","AssetPricing",149
"1136","BaM",149
"1179","bayesPop",149
"1334","BlakerCI",149
"1630","cocorresp",149
"1883","decctools",149
"1890","DeducerSpatial",149
"1897","degreenet",149
"2012","distrTeach",149
"2048","DoseFinding",149
"2468","fmri",149
"3300","LambertW",149
"3470","lqmm",149
"4701","qmap",149
"5332","RTOMO",149
"5368","rwt",149
"5741","sparcl",149
"5836","sqlutils",149
"6178","TripleR",149
"941","ACNE",148
"1065","apTreeshape",148
"1278","bigmemory.sri",148
"2307","extracat",148
"2979","HMPTrees",148
"3172","ISOweek",148
"3191","jaatha",148
"3538","MAR1",148
"3607","mcmcplots",148
"4229","orthopolynom",148
"4839","Rbitcoin",148
"4866","RcmdrPlugin.coin",148
"4870","RcmdrPlugin.doex",148
"4888","RcmdrPlugin.SCDA",148
"5172","RNetLogo",148
"5199","robustlmm",148
"5303","RSocrata",148
"5461","sdcMicro",148
"5475","seacarb",148
"5564","SharpeR",148
"6261","UScensus2000cdp",148
"904","linkcomm",147
"953","adagio",147
"1140","bandit",147
"1155","BatchExperiments",147
"1193","BayesXsrc",147
"2406","fgac",147
"2845","GSM",147
"3117","Interact",147
"3653","metagen",147
"3734","MiscPsycho",147
"3896","MSwM",147
"4323","PBImisc",147
"4387","perm",147
"5508","SemiParBIVProbit",147
"5636","SLC",147
"6232","turner",147
"6415","x12GUI",147
"1080","aroma.cn",146
"1158","BayesBridge",146
"2755","GMMBoost",146
"3197","JBTools",146
"3264","kobe",146
"3612","MCPAN",146
"4724","qualV",146
"5038","RFOC",146
"5146","rmetasim",146
"5215","ROI",146
"5980","svmpath",146
"920","abcdeFBA",145
"1152","BaSTA",145
"1187","bayesTFR",145
"1481","CBPS",145
"1658","CommonTrend",145
"2143","eeptools",145
"2148","egcm",145
"2234","equateIRT",145
"2577","gamair",145
"2782","GPFDA",145
"2816","GriegSmith",145
"2914","hdeco",145
"2961","histogram",145
"3356","lessR",145
"4005","NeatMap",145
"4350","pdc",145
"4723","qualityTools",145
"5227","ROSE",145
"5265","rrBLUP",145
"6071","textometry",145
"6103","TimeProjection",145
"1144","bartMachine",144
"1209","BCBCSF",144
"1671","compoisson",144
"2016","diveMove",144
"2130","ecoengine",144
"2278","exact2x2",144
"2510","frailtypack",144
"2688","GEVStableGarch",144
"3119","intergraph",144
"3334","lcmm",144
"3753","mixlm",144
"5063","rgp",144
"6218","TSTutorial",144
"6260","UScensus2000blkgrp",144
"928","abn",143
"1129","BaBooN",143
"1204","BBMM",143
"1390","bpcp",143
"1775","crp.CSFP",143
"2176","EMCluster",143
"2433","FisherEM",143
"2752","GMD",143
"3228","kdetrees",143
"3426","log4r",143
"4329","PBSddesolve",143
"4551","portes",143
"4820","RaschSampler",143
"4986","relevent",143
"5981","svSocket",143
"6008","SYNCSA",143
"6017","table1xls",143
"6434","yacca",143
"950","ActuDistns",142
"1089","arulesNBMiner",142
"1154","batch",142
"1195","BayHaz",142
"1215","Bclim",142
"1523","cghFLasso",142
"1568","Ckmeans.1d.dp",142
"1573","classifly",142
"2271","evmix",142
"2327","FAdist",142
"2430","fingerprint",142
"3052","ic.infer",142
"3131","intsvy",142
"4538","pomp",142
"4597","princurve",142
"5742","sparkTable",142
"5891","stm",142
"6277","vardiag",142
"1257","bfp",141
"1408","broman",141
"1529","ChargeTransport",141
"2872","gWidgets2",141
"3222","kappalab",141
"3500","MAc",141
"3537","mAr",141
"3770","MKmisc",141
"4122","NSM3",141
"4883","RcmdrPlugin.orloca",141
"5007","reportr",141
"5177","RNiftyReg",141
"5560","sgr",141
"6163","TreePar",141
"1023","AmericanCallOpt",140
"1260","bgmm",140
"1461","care",140
"1709","CopulaRegression",140
"1749","CPE",140
"2198","enaR",140
"2412","fgui",140
"2515","frbs",140
"2792","gptk",140
"2911","hda",140
"2988","Hotelling",140
"3123","interval",140
"3305","LARF",140
"3432","logging",140
"3857","mpoly",140
"4800","randomSurvivalForest",140
"4848","Rcapture",140
"4909","RcppDE",140
"5110","RJaCGH",140
"5408","SAScii",140
"6463","zyp",140
"1123","AWS.tools",139
"1159","bayesclust",139
"1220","bcrm",139
"1919","depth",139
"1931","detect",139
"1957","DiceView",139
"1964","diffIRT",139
"2837","gsDesign",139
"4239","overlap",139
"4768","R2SWF",139
"5242","rpf",139
"5333","rtop",139
"6012","Synth",139
"6078","TFX",139
"6132","tnet",139
"6141","tourr",139
"1243","Bergm",138
"1281","bigRR",138
"1301","bio.infer",138
"1834","DALY",138
"1835","DAMisc",138
"2395","FeedbackTS",138
"2476","fontcm",138
"2525","FrF2.catlg128",138
"2769","googlePublicData",138
"3292","laeken",138
"3691","mhurdle",138
"4428","phyclust",138
"4553","portfolioSim",138
"4798","randomLCA",138
"4884","RcmdrPlugin.plotByGroup",138
"4890","RcmdrPlugin.SLC",138
"5102","RISmed",138
"945","acss",137
"1122","aws",137
"1317","BioStatR",137
"1446","calmate",137
"1542","cherry",137
"1898","Delaporte",137
"2341","faoutlier",137
"2461","flsa",137
"2675","geospt",137
"2748","glpkAPI",137
"3822","MODISTools",137
"3829","Momocs",137
"4082","norm",137
"4221","orloca.es",137
"4936","RDS",137
"5018","reshapeGUI",137
"5378","s20x",137
"5569","shinyBS",137
"5589","Sim.DiffProc",137
"5693","SOAR",137
"5950","survC1",137
"6040","TBEST",137
"6126","tm.plugin.lexisnexis",137
"934","accrued",136
"972","AdequacyModel",136
"983","aftgee",136
"1102","AssotesteR",136
"1163","BayesDA",136
"1514","cfa",136
"1574","classify",136
"2085","DTK",136
"2112","earlywarnings",136
"2310","extraTrees",136
"2340","FAOSTAT",136
"2360","fastR",136
"2867","GWASExactHW",136
"2981","hoardeR",136
"3556","MASSTIMATE",136
"4151","ODMconverter",136
"4167","onion",136
"4596","primerTree",136
"4998","rentrez",136
"5439","SciencesPo",136
"5509","SemiParSampleSel",136
"5962","survMisc",136
"6340","VSURF",136
"6410","wsrf",136
"976","adlift",135
"1124","awsMethods",135
"1188","Bayesthresh",135
"1513","cepp",135
"1520","cgdsr",135
"1588","clpAPI",135
"1646","colorfulVennPlot",135
"1718","corpora",135
"1924","deseasonalize",135
"1982","disclapmix",135
"2008","distrMod",135
"2313","extremevalues",135
"2835","gsarima",135
"2937","HGNChelper",135
"3018","HWEBayes",135
"3365","lgtdl",135
"3980","nanop",135
"3981","NanoStringNorm",135
"4099","NPCD",135
"4361","pec",135
"4545","PopGenReport",135
"4879","RcmdrPlugin.MA",135
"5340","Runiversal",135
"5465","SDDA",135
"5748","SparseGrid",135
"5756","spatcounts",135
"6110","TIMP",135
"6219","TSxls",135
"6422","xkcd",135
"924","abctools",134
"956","AdaptFitOS",134
"1020","amei",134
"1305","Biograph",134
"1561","CircNNTSR",134
"2096","DWD",134
"2147","effsize",134
"2202","english",134
"2436","fishmethods",134
"2570","GA4Stratification",134
"2628","gemtc",134
"2684","GetoptLong",134
"2750","GMCM",134
"2928","hergm",134
"3363","lgcp",134
"3680","mfp",134
"3768","mkin",134
"4648","pso",134
"4658","psychotree",134
"5169","RND",134
"5371","RXMCDA",134
"6145","tpr",134
"922","ABCoptim",133
"1000","ALDqr",133
"1016","ALS",133
"1050","AntWeb",133
"1345","blockmodeling",133
"1437","cacIRT",133
"1772","crossdes",133
"2448","flare",133
"2609","GCD",133
"3094","indicspecies",133
"3178","iterpc",133
"3567","MatrixEQTL",133
"3761","MixSim",133
"3777","MLEcens",133
"3944","mvbutils",133
"3964","mvSLOUCH",133
"4126","numbers",133
"4321","pbdPROF",133
"4595","primer",133
"4852","rcdk",133
"4853","rcdklibs",133
"4887","RcmdrPlugin.sampling",133
"4893","RcmdrPlugin.StatisticalURV",133
"5729","spaa",133
"5776","spc",133
"6270","uuid",133
"1235","benchden",132
"1421","BTYD",132
"1544","chipPCR",132
"1744","coxphw",132
"1882","debug",132
"2261","Evapotranspiration",132
"2289","ExomeDepth",132
"3468","LPStimeSeries",132
"3916","MultiLCIRT",132
"3952","mvna",132
"4205","ORCME",132
"4286","parma",132
"4421","phia",132
"4843","rbugs",132
"4905","rcppbugs",132
"4967","refund",132
"5334","rts",132
"5372","RXshrink",132
"5397","SamplingStrata",132
"5708","solaR",132
"5905","stratification",132
"6116","tkrgl",132
"6235","twang",132
"991","AGSDest",131
"1109","asypow",131
"1617","cmrutils",131
"1756","Cprob",131
"1833","DAKS",131
"2277","Exact",131
"2465","flux",131
"3377","LIM",131
"3773","MLCM",131
"3807","MNM",131
"3949","mvmeta",131
"5322","rSymPy",131
"5683","snowFT",131
"5771","SpatialVx",131
"5795","SPEI",131
"5940","superpc",131
"6124","tm.plugin.europresse",131
"977","ADM3",130
"998","akmeans",130
"1608","clustvarsel",130
"1674","compound.Cox",130
"2233","equate",130
"2551","futile.any",130
"2594","gamlss.tr",130
"2659","genSurv",130
"2687","GEVcdn",130
"2713","GillespieSSA",130
"2821","grofit",130
"2823","GroupSeq",130
"3989","NBPSeq",130
"4134","Oarray",130
"4243","pa",130
"4352","pdfetch",130
"4395","perturb",130
"4557","PottsUtils",130
"5272","rredis",130
"5772","SpatioTemporal",130
"6086","ThresholdROC",130
"6296","vec2dtransf",130
"935","ACD",129
"1066","aqfig",129
"1074","argosfilter",129
"1075","argparse",129
"1271","bifactorial",129
"1321","BiplotGUI",129
"1326","bisoreg",129
"1417","BSquare",129
"1642","colbycol",129
"1670","CompLognormal",129
"1780","CRTSize",129
"1857","Davies",129
"2079","dsm",129
"2281","exactLoglinTest",129
"2298","ExPosition",129
"2491","formula.tools",129
"2965","hive",129
"3406","lmm",129
"4003","ndtv",129
"4155","OIsurv",129
"4235","OutlierDC",129
"4264","paleoTS",129
"4490","plsgenomics",129
"4590","prettyGraphs",129
"4917","RcppSMC",129
"5097","rioja",129
"5256","rpubchem",129
"5666","smoothHR",129
"5938","SuperLearner",129
"6234","tvm",129
"1128","babel",128
"1453","capm",128
"1894","deepnet",128
"1923","DescTools",128
"2033","DNAtools",128
"2288","excursions",128
"2587","gamlss.cens",128
"2678","geotopbricks",128
"3239","KFKSDS",128
"3256","kml3d",128
"3511","mail",128
"3647","MetabolAnalyze",128
"4611","ProfessR",128
"4680","PwrGSD",128
"4754","R2BayesX",128
"5604","simPH",128
"5766","SpatialNP",128
"5807","spider",128
"6159","treebase",128
"930","accelerometry",127
"982","AFLPsim",127
"1022","amen",127
"1039","anesrake",127
"1427","bvls",127
"1706","copBasic",127
"1864","DBKGrad",127
"2256","ETLUtils",127
"2279","exactci",127
"2507","fractalrock",127
"2568","G2Sd",127
"2940","hht",127
"3504","MADAM",127
"4646","PSM",127
"4766","R2STATS",127
"4771","R330",127
"4941","ReacTran",127
"5270","rrdf",127
"5437","SCI",127
"5925","stylo",127
"6055","TEQR",127
"6091","tiger",127
"923","ABCp2",126
"1114","AUCRF",126
"1142","bark",126
"1143","Barnard",126
"1190","BayesValidate",126
"1307","BioMark",126
"1428","bvpSolve",126
"1442","CALIBERrfimpute",126
"1466","caschrono",126
"1705","copas",126
"1869","DCGL",126
"1968","difR",126
"2046","doRedis",126
"2337","fANCOVA",126
"2647","GeneticTools",126
"2817","gRim",126
"3004","HSROC",126
"3141","IQCC",126
"3420","locfdr",126
"3707","MIfuns",126
"4372","penalizedSVM",126
"4989","reliaR",126
"5369","RxCEcolInf",126
"5398","samplingVarEst",126
"5557","SGP",126
"5702","soilDB",126
"5720","sorvi",126
"5791","speedglm",126
"6122","tm.plugin.alceste",126
"6337","vrmlgen",126
"948","Actigraphy",125
"959","adaptMCMC",125
"996","AIM",125
"1047","AnthropMMD",125
"1291","binGroup",125
"1379","bootRes",125
"1424","BurStMisc",125
"1429","BVS",125
"1825","DAAGbio",125
"1950","DiagTest3Grp",125
"2013","distrTEst",125
"2104","DynClust",125
"2413","FHtest",125
"2799","granova",125
"3006","HTMLUtils",125
"3100","influence.ME",125
"3299","Lambda4",125
"3520","MAMS",125
"3583","MBmca",125
"3677","MFDA",125
"3923","MultiPhen",125
"4599","PRISMA",125
"4639","psd",125
"4656","psychomix",125
"4687","QCA3",125
"4984","relaxo",125
"5186","RobLox",125
"5616","SINGLE",125
"6389","wle",125
"955","AdaptFit",124
"987","Agreement",124
"1033","anametrix",124
"1095","asd",124
"1312","BioPhysConnectoR",124
"1531","CHCN",124
"1594","clusterCrit",124
"1763","crawl",124
"1765","crch",124
"2002","distory",124
"2359","FastPCS",124
"2544","FunCluster",124
"2939","HHG",124
"3010","httpRequest",124
"3277","kst",124
"3282","kza",124
"3633","mefa",124
"3642","MergeGUI",124
"3738","MissingDataGUI",124
"3827","mombf",124
"3937","muscle",124
"3958","MVPARTwrap",124
"4083","NormalGamma",124
"4124","nsRFA",124
"4278","paran",124
"4573","pps",124
"4961","REEMtree",124
"5032","RFinanceYJ",124
"5100","riskRegression",124
"5822","SPODT",124
"5825","SPOT",124
"6044","tdm",124
"1052","aods3",123
"1085","arrayhelpers",123
"1194","BayHap",123
"1353","bmem",123
"1385","boss",123
"1406","brnn",123
"1545","chngpt",123
"1581","climdex.pcic",123
"1708","copulaedas",123
"1893","deducorrect",123
"1922","DescribeDisplay",123
"2011","distrSim",123
"2115","EasyABC",123
"2123","ebdbNet",123
"2291","ExpDes",123
"2380","fdakma",123
"2453","FlexParamCurve",123
"3327","lazyWeave",123
"3481","LSMonteCarlo",123
"3576","maxstat",123
"3603","MCMC.qpcr",123
"3708","MigClim",123
"3749","mixdist",123
"4040","NHPoisson",123
"4153","Ohmage",123
"4311","PAWL",123
"4343","PCIT",123
"4371","penalizedLDA",123
"4392","PERregress",123
"4507","pmr",123
"4737","QUIC",123
"4862","Rclusterpp",123
"4889","RcmdrPlugin.seeg",123
"4982","relax",123
"4999","Reol",123
"5867","STAR",123
"5965","SurvRegCensCov",123
"943","aCRM",122
"1041","animalTrack",122
"1087","ARTIVA",122
"1182","BayesQTLBIC",122
"1191","BayesVarSel",122
"1340","blm",122
"2083","DTDA",122
"2120","eba",122
"2445","FITSio",122
"2527","frmqa",122
"2673","geospacom",122
"2831","GRTo",122
"2892","HapEstXXR",122
"3032","hyperdirichlet",122
"3211","JOP",122
"3454","LoopAnalyst",122
"3547","maRketSim",122
"3615","MCPMod",122
"3634","mefa4",122
"4196","optimsimplex",122
"4434","phylosim",122
"4988","ReliabilityTheory",122
"5260","rPython",122
"5271","rrdflibs",122
"5910","StreamMetabolism",122
"6207","tsModel",122
"6255","untb",122
"6304","vegetarian",122
"1001","aLFQ",121
"1004","ALKr",121
"1135","BalancedSampling",121
"1185","BayesSingleSub",121
"1293","binMto",121
"1370","Bolstad2",121
"1386","BoSSA",121
"1435","cacher",121
"1668","compHclust",121
"1743","coxphf",121
"2572","GAD",121
"2861","gumbel",121
"2973","hmm.discnp",121
"3186","ivivc",121
"3321","lava.tobit",121
"3539","mar1s",121
"3842","MortalitySmooth",121
"4027","networksis",121
"4195","optimbase",121
"4885","RcmdrPlugin.pointG",121
"5168","RNCEP",121
"5181","RobAStBase",121
"5513","semPLS",121
"5565","sharx",121
"5705","SoilR",121
"5774","spatsurv",121
"6100","timeline",121
"6217","TSSQLite",121
"1072","arf3DS4",120
"1098","aspect",120
"1099","assertive",120
"1275","biglars",120
"1360","bmrm",120
"1624","coarseDataTools",120
"1746","coxrobust",120
"1751","CPHshape",120
"1853","dataview",120
"2060","dpmixsim",120
"2082","DTComPair",120
"2109","dynsurv",120
"2247","ESG",120
"2311","ExtremeBounds",120
"2968","HLMdiag",120
"3125","interventionalDBN",120
"3224","KappaV",120
"3234","kernelFactory",120
"3758","mixRasch",120
"4128","numOSL",120
"4207","ordBTL",120
"4659","psyphy",120
"4824","rateratio.test",120
"5042","RFreak",120
"5128","Rlabkey",120
"5152","rmngb",120
"5187","RobLoxBioC",120
"5221","ROptEst",120
"5615","SIN",120
"921","ABCExtremes",119
"1416","bspmma",119
"1449","cancerTiming",119
"1778","crrstep",119
"1935","devEMF",119
"1937","Devore7",119
"2042","Dominance",119
"2099","dynamicGraph",119
"2154","eigenmodel",119
"2170","elrm",119
"2174","EMC",119
"2250","EstCRM",119
"2287","excel.link",119
"2339","fanplot",119
"2429","findpython",119
"2719","glarma",119
"2824","growcurves",119
"2874","gWidgets2tcltk",119
"3053","IC2",119
"3101","influence.SEM",119
"3204","Jmisc",119
"3205","Johnson",119
"3508","magicaxis",119
"3836","monreg",119
"3960","mvProbit",119
"4012","NestedCohort",119
"4328","PBSadmb",119
"4682","pwt8",119
"4751","R0",119
"4892","RcmdrPlugin.sos",119
"5331","rtiff",119
"5486","seeg",119
"5506","SemiMarkov",119
"5596","simex",119
"932","ACCLMA",118
"936","Ace",118
"939","aCGH.Spline",118
"1151","BASIX",118
"1346","blockrand",118
"1382","bootStepAIC",118
"1447","CAMAN",118
"1496","cda",118
"1649","colortools",118
"1760","cramer",118
"1813","CVST",118
"2066","drfit",118
"2197","ENA",118
"2293","expectreg",118
"2424","FinAsym",118
"2662","GeoLight",118
"2680","geozoo",118
"2695","GGIR",118
"2830","grt",118
"2946","hier.part",118
"3058","ICE",118
"3166","IsoGene",118
"3464","lpridge",118
"3813","Modalclust",118
"3848","MPCI",118
"4016","NetData",118
"4070","nodeHarvest",118
"4085","normalp",118
"4289","partDSA",118
"4341","PCICt",118
"4397","PET",118
"4402","pglm",118
"4719","QTLRel",118
"5030","RFGLS",118
"5031","rfigshare",118
"5124","rknn",118
"5585","signalextraction",118
"5843","SRRS",118
"5920","strum",118
"6084","ThreeWay",118
"6439","yhat",118
"1008","AlleleRetain",117
"1069","AquaEnv",117
"1174","bayesMCClust",117
"1451","cape",117
"1657","CommonJavaJars",117
"1672","COMPoissonReg",117
"1703","cooccur",117
"1769","CRM",117
"1838","darch",117
"1911","denpro",117
"1926","designGG",117
"2124","EBMAforecast",117
"2139","editrules",117
"2267","events",117
"2294","experiment",117
"2349","fastclime",117
"2583","games",117
"2806","GrassmannOptim",117
"3023","hybridHclust",117
"3089","imputeYn",117
"3137","IPMpack",117
"3422","locits",117
"3609","mco",117
"3689","mhsmm",117
"3732","miscF",117
"4009","neldermead",117
"4100","NPCirc",117
"4213","OrdinalLogisticBiplot",117
"4223","oro.dicom",117
"4445","pipeR",117
"4476","plot3Drgl",117
"5259","RPyGeo",117
"5530","seqminer",117
"5590","simba",117
"5901","stpp",117
"6366","WeightedCluster",117
"1126","B2Z",116
"1138","BAMMtools",116
"1250","betaper",116
"1270","BiDimRegression",116
"1308","BiomarkeR",116
"1527","changeLOS",116
"1628","CoClust",116
"1849","dataone",116
"1868","dcemriS4",116
"1972","DIME",116
"2004","distrDoc",116
"2005","distrEllipse",116
"2152","eHOF",116
"2422","financial",116
"2567","G1DBN",116
"2589","gamlss.demo",116
"2676","geostatsp",116
"2808","gRc",116
"2863","GUTS",116
"3446","lomb",116
"3458","LowRankQP",116
"3709","migest",116
"3899","MTurkR",116
"4193","OptHedging",116
"4635","PSAgraphics",116
"4978","rela",116
"5098","ripa",116
"5522","sensR",116
"5609","SimRAD",116
"5789","spectral.methods",116
"5983","svTools",116
"6060","TESS",116
"6413","WWGbook",116
"1007","allelematch",115
